TBCA Oxota,OOH Oxota,Buy m.o. Oxota,Trial Oxota,Unaided Oxota,Consider T1 Oxota,OOH freq,Instore freq,Bar freq,Volume,Media coverage,WOM +ve,WOM =,Experience +ve,Experience =
1,0,0,1,1,0,0,4,0,7.5,0,0,0,0,0
1,0,1,1,1,1,0,1,0,1.5,1,0,0,0,1
0,0,0,1,1,0,0,1.25,0,2.5,0,0,0,0,1
0,0,0,1,1,0,0,0,0,4.5,0,0,0,1,0
0,0,0,0,0,0,0,2.55,0,7.5,0,0,0,0,0
1,1,0,1,0,0,0,2,0,2.5,1,0,1,1,0
1,0,0,1,1,1,0,3.1,0,3,0,0,0,1,0
1,0,1,1,0,1,0,2.125,0,0.5,0,0,0,1,0
1,0,0,1,0,1,0,2.5,0,0.5,0,0,0,1,0
1,0,0,0,0,0,0,2.65,0,2.5,0,0,0,0,0
1,0,1,1,1,1,0,6,0,4.5,0,0,1,1,0
1,0,1,1,0,1,0,6,0,4.5,1,0,0,1,0
1,0,1,1,1,1,0,16,0,2.5,0,1,0,1,0
1,0,1,1,1,1,0,2.1,0,2.5,0,0,0,1,0
1,0,0,0,0,0,0,8.5,0,4.5,0,0,0,0,0
1,0,0,1,0,0,0,6.5,0,3,0,0,0,0,0
1,0,0,1,0,1,0,2,0,1.5,0,0,1,0,1
1,0,1,1,1,1,0,4.5,0,1.5,0,1,0,1,0
1,0,0,1,0,0,0,0.9,0,1.5,0,0,0,0,0
0,0,0,1,0,0,0,0.5,0,5,0,0,0,0,0
1,0,1,1,1,1,0,2,0,1.5,0,0,0,1,0
1,0,1,1,1,1,0,4.25,0,5.5,0,1,0,1,0
0,0,0,1,0,0,0,4,0,0.5,0,0,0,0,0
1,0,1,1,0,1,0,0.9,0,3,0,1,0,1,0
1,0,1,1,0,1,0,5,0,1.5,0,1,0,1,0
1,0,0,1,0,0,0,1.55,0,1.5,0,0,0,0,0
1,0,0,1,1,1,0,4,0,4.5,0,0,0,1,0
1,0,0,1,0,1,0,11,0,8.5,0,0,0,1,0
1,0,0,1,0,0,0,10,0,8.5,0,0,1,0,1
1,1,1,1,0,1,0,6.8,0,1.5,1,0,1,1,0
1,0,0,0,1,0,0,4,0,1.5,0,0,0,0,1
1,0,0,0,0,0,0,1,0,2.5,0,0,0,0,0
1,1,1,1,0,1,0,11,0,1.5,0,0,0,1,0
1,0,0,1,1,0,0,0.8,0,1.5,0,0,0,0,1
0,0,0,1,0,0,0,2.525,0,0.5,0,0,0,0,1
0,0,0,0,0,0,0,1.1,0,5.5,0,0,0,0,0
0,0,0,1,0,0,0,4.5,0,2.5,0,0,0,0,1
1,1,0,1,1,0,0,3,0,1.5,1,0,0,0,1
1,0,0,1,0,0,0,4.4,0,7,0,0,0,0,0
1,0,0,1,0,0,0,10,0,7.5,0,0,0,0,0
1,0,0,1,1,1,0,5.5,0,2.5,0,0,0,1,0
1,1,0,1,0,0,0,4,0,4.5,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1.5,0,0,0,0,0
1,0,0,1,0,0,0,2,0,4.5,0,0,0,1,0
1,0,1,1,1,1,0,2,0,1.5,0,0,0,1,0
0,0,0,1,0,0,0,9.5,0,1.5,0,0,0,0,1
1,1,0,1,0,1,0,3.2,0,4,0,1,0,1,0
1,1,0,1,0,0,0,3,0,3,0,0,0,1,0
1,0,1,1,1,1,0,2.5,0,4,1,1,0,1,0
1,0,1,1,1,1,0,2,0,1.5,0,0,0,0,1
